	ckpt_intvl	sfs_bw	bb_bw	sys_mtbf	low_bound	avg	high_bound
0	1h	160000000000.0	10000000000.0	86400.0	0.0003441298519627964	8.946675307924671e-05	0.0002910116135330067
1	1h	160000000000.0	10000000000.0	82800.0	0.0003747356558488227	0.00019223023614240386	0.00039150153035070676
2	1h	160000000000.0	10000000000.0	79200.0	0.0002957628825374475	4.72199571026578e-05	0.0003129208606652477
3	1h	160000000000.0	10000000000.0	75600.0	0.0003527138568855012	5.056384740170208e-05	0.00027355986149908934
4	1h	160000000000.0	10000000000.0	72000.0	0.00028849806071133916	0.0002559590214542477	0.00026167479439249356
5	1h	160000000000.0	10000000000.0	68400.0	0.00024386866048130035	-0.00010509582043396679	0.00021571603605912316
6	1h	160000000000.0	10000000000.0	64800.0	0.00024997735622082787	0.00023938578593001014	0.0002774813963580062
7	1h	160000000000.0	10000000000.0	61200.0	0.00026010739364152116	0.00026111545455150735	0.0004022527901987841
8	1h	160000000000.0	10000000000.0	57600.0	0.00015773518279288596	0.0002004326746984919	0.00041558215587680263
9	1h	160000000000.0	10000000000.0	54000.0	0.00014930985393352332	-6.13336113847885e-05	0.00023922147209445225
10	1h	160000000000.0	10000000000.0	50400.0	0.0001213118893589228	-5.891020363332387e-05	0.0003202908702364287
11	1h	160000000000.0	10000000000.0	46800.0	8.141965328927804e-05	-0.00041374963771968233	0.0002945217731243205
12	1h	160000000000.0	10000000000.0	43200.0	5.7801106731827706e-05	-4.696624427149112e-05	0.0003405213753808259
13	1h	160000000000.0	10000000000.0	39600.0	5.42668962623036e-05	0.00017851903450795078	0.0004306072803146564
14	1h	160000000000.0	10000000000.0	36000.0	5.860686045897046e-05	0.00015418875465731427	0.0005627821517069013
15	1h	160000000000.0	10000000000.0	32400.0	7.24352145837809e-06	4.525539182088532e-05	0.0006563526661875546
16	1h	160000000000.0	10000000000.0	28800.0	-6.617858921355128e-05	0.0001452225490292127	0.00043210217709997614
17	1h	160000000000.0	10000000000.0	25200.0	-7.554102147152078e-05	0.00030839335708691615	0.0008423608313930023
18	1h	160000000000.0	10000000000.0	21600.0	-6.555827226301602e-05	0.0003714831090153223	0.0009751655180219245
19	1h	160000000000.0	10000000000.0	18000.0	0.00010051342121416228	0.0005603759533554177	0.0012709008586071465
20	1h	160000000000.0	10000000000.0	14400.0	0.0003645745194287486	0.001077232686318701	0.0020508354254109057
21	1h	160000000000.0	10000000000.0	10800.0	0.0009740431795022737	0.00224481872380661	0.0035544803458767405
22	1h	160000000000.0	10000000000.0	7200.0	0.002751369646998472	0.0048754896790265245	0.007098480033253816
23	1h	160000000000.0	10000000000.0	3600.0	0.014293727297205301	0.018620099407778666	0.024845904950650574
24	1h	150000000000.0	10000000000.0	86400.0	0.000324789025995528	0.00029013322902775925	0.0004568092509598182
25	1h	150000000000.0	10000000000.0	82800.0	0.00028360786798164756	-3.766364074889216e-05	0.0004045408027050718
26	1h	150000000000.0	10000000000.0	79200.0	0.0002928112017409276	0.0001252705036537587	0.0002465714917235703
27	1h	150000000000.0	10000000000.0	75600.0	0.00024775634342774156	0.0002476711843939734	0.0003259668662640528
28	1h	150000000000.0	10000000000.0	72000.0	0.0002241553631806368	0.00022115448043157602	0.00023969571777871792
29	1h	150000000000.0	10000000000.0	68400.0	0.0002653113395841236	0.0002095414373052849	0.00031116061766183704
30	1h	150000000000.0	10000000000.0	64800.0	0.00019268565138823052	0.00020200809495798358	0.00031131236955665167
31	1h	150000000000.0	10000000000.0	61200.0	0.00015044514997160526	0.00015522647346890856	0.00028441009986981524
32	1h	150000000000.0	10000000000.0	57600.0	0.00017049339665411393	-7.671265680674662e-05	0.00033308114743051316
33	1h	150000000000.0	10000000000.0	54000.0	0.00010894107326030157	-4.767516099217126e-05	0.0003535766067010839
34	1h	150000000000.0	10000000000.0	50400.0	0.00012344123620730996	-0.00011784311753769232	0.0002762176421410474
35	1h	150000000000.0	10000000000.0	46800.0	7.890381943839492e-05	9.049166869677053e-05	0.0002498134390983631
36	1h	150000000000.0	10000000000.0	43200.0	5.939353042431388e-05	0.00014139225598597846	0.0003608228083932573
37	1h	150000000000.0	10000000000.0	39600.0	5.052959269473173e-06	0.00015830768593274864	0.0005142997570946272
38	1h	150000000000.0	10000000000.0	36000.0	8.651438727980739e-07	0.00019516171297583452	0.0004854213435540101
39	1h	150000000000.0	10000000000.0	32400.0	-8.747447844279703e-05	2.4051761184915857e-05	0.0006339386504081745
40	1h	150000000000.0	10000000000.0	28800.0	-9.930349335511806e-05	0.00024318066010897742	0.0007158832118923427
41	1h	150000000000.0	10000000000.0	25200.0	-8.556294713979603e-05	0.00011395465567931953	0.0008170336608963543
42	1h	150000000000.0	10000000000.0	21600.0	-3.4336800486083714e-05	0.00018445549267644547	0.000999524751136811
43	1h	150000000000.0	10000000000.0	18000.0	-1.4149847140085487e-05	0.0006513080801733284	0.001383438291857789
44	1h	150000000000.0	10000000000.0	14400.0	0.000305121115577667	0.001264359313817848	0.002217631216203988
45	1h	150000000000.0	10000000000.0	10800.0	0.0008879739038049784	0.002231847746042237	0.0033639433917992813
46	1h	150000000000.0	10000000000.0	7200.0	0.0032235706583639244	0.005606038094391917	0.007992795238443656
47	1h	150000000000.0	10000000000.0	3600.0	0.015140440948302959	0.020898531762324455	0.026013982232547417
48	1h	140000000000.0	10000000000.0	86400.0	0.0002828746417882343	0.0002443582418103172	0.00027617190296082847
49	1h	140000000000.0	10000000000.0	82800.0	0.00029206357178792323	-1.3693735316610287e-05	0.0002745607731844422
50	1h	140000000000.0	10000000000.0	79200.0	0.0002696269595039884	0.00022506395457735852	0.00038268934492242804
51	1h	140000000000.0	10000000000.0	75600.0	0.0002132859774525111	0.00023599284996812678	0.00030591978158815464
52	1h	140000000000.0	10000000000.0	72000.0	0.00024124673828760127	0.000234095317765197	0.0003699821851219328
53	1h	140000000000.0	10000000000.0	68400.0	0.00019442140818277367	0.00019140779081488048	0.0003336117537338795
54	1h	140000000000.0	10000000000.0	64800.0	0.00016156705893959067	-0.00010257976190817272	0.00015737394911134793
55	1h	140000000000.0	10000000000.0	61200.0	0.00014397233952100758	0.000176371621116503	0.00038608490579246997
56	1h	140000000000.0	10000000000.0	57600.0	0.00013956351634765148	-0.0002516628743643197	0.00030747829183783593
57	1h	140000000000.0	10000000000.0	54000.0	0.00013114777535032558	0.00021070831519044253	0.00044892223482628215
58	1h	140000000000.0	10000000000.0	50400.0	7.208952401532983e-05	0.0001540984090576008	0.00033749565026400556
59	1h	140000000000.0	10000000000.0	46800.0	3.630492691910085e-05	0.00017338675228709545	0.0005448112760395368
60	1h	140000000000.0	10000000000.0	43200.0	-6.312442019301224e-07	0.00011934148097253417	0.0003256651364811915
61	1h	140000000000.0	10000000000.0	39600.0	-3.950971565873883e-05	0.00016875351832934212	0.0004684945448392775
62	1h	140000000000.0	10000000000.0	36000.0	-7.303506192284852e-05	0.00021447012081201124	0.0006107880779577463
63	1h	140000000000.0	10000000000.0	32400.0	-0.0001130394162327181	0.0002240232737925332	0.0008965357078022939
64	1h	140000000000.0	10000000000.0	28800.0	-0.00014386629740671848	0.0003448209711680429	0.0010371836768046712
65	1h	140000000000.0	10000000000.0	25200.0	-2.4467988418649033e-05	0.00034394830916176927	0.0013900571093878411
66	1h	140000000000.0	10000000000.0	21600.0	3.666144957342136e-05	0.0005416397408978476	0.0011964354560544674
67	1h	140000000000.0	10000000000.0	18000.0	0.00012981157644466898	0.0010866798729443187	0.0020732437166464585
68	1h	140000000000.0	10000000000.0	14400.0	0.00037602801914609577	0.001433802617114056	0.003142275531053615
69	1h	140000000000.0	10000000000.0	10800.0	0.0011583906466206923	0.0030647994569445365	0.005215806734092071
70	1h	140000000000.0	10000000000.0	7200.0	0.004092604170814203	0.007002539540147968	0.010713281307437757
71	1h	140000000000.0	10000000000.0	3600.0	0.016800795622483933	0.025140232979638723	0.0335096960062821
72	1h	130000000000.0	10000000000.0	86400.0	0.0002444488431079201	0.0002466198419218983	0.00038127277774157957
73	1h	130000000000.0	10000000000.0	82800.0	0.00024929358971572334	5.6156558788296256e-05	0.0005668678609834595
74	1h	130000000000.0	10000000000.0	79200.0	0.00022273132476473604	-1.7350302869128718e-05	0.00024880233008711086
