					Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	Computing Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	IO Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Checkpoint Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Wasted Computing Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Waste Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio	Work Ratio
					count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max	count	mean	std	min	10%	25%	50%	75%	90%	max
method	ckpt_intvl	sfs_bw	bb_bw	sys_mtbf																																																												
No_bb	1h	40000000000.0	10000000000.0	3600	80.0	0.822418549039827	0.04213285243373036	0.6912418572059389	0.7563554246424028	0.8140653199295492	0.8375909526556145	0.8487361516080778	0.8565112950613928	0.8755679319313481	80.0	0.03701783612948174	0.006000284296443567	0.021621007674955364	0.029718912528896385	0.03313879075557933	0.03712370810070238	0.041580144941256295	0.04393088530190027	0.052243385047805416	80.0	0.0010824146796760237	5.6481035272104726e-05	0.000899594335530848	0.001007081279570414	0.0010594197315967318	0.0010956707735869874	0.001116783167627739	0.0011352680248443228	0.0012057863142832575	80.0	0.013270954617830899	0.0036629105123635007	0.004396863653684575	0.00856208182955991	0.011081661991907858	0.013395541376936888	0.016076901796464052	0.017165984651004967	0.025188827925390143	80.0	0.014353369297506916	0.0036591741970179712	0.005602649967967833	0.00972043088738129	0.012137504258778072	0.014522535501136281	0.017085772815238636	0.018257507028078098	0.02624003130524867	80.0	0.8594363851693091	0.042775845705065534	0.7238974173165605	0.7832610964901089	0.8534573876078436	0.874730664227616	0.886259522558245	0.8922088289112039	0.9076778902522465
No_bb	1h	40000000000.0	10000000000.0	7200	94.0	0.8163566255704462	0.0411378844166161	0.6461168339929798	0.7590275881161486	0.8001953462698226	0.8275436969270971	0.8418338642729016	0.8535611234736773	0.8866725746815904	94.0	0.020294493665513415	0.0036629604096559396	0.009520874311632893	0.01550116845687824	0.017925997992342717	0.02054475855199779	0.022968133647153458	0.024637286633447802	0.028780969064870307	94.0	0.0010663696428686834	5.9521475033196394e-05	0.000853308370773254	0.0009751860195256864	0.0010354555683104215	0.0010785188657857101	0.0011059037628309337	0.0011282590294419185	0.0011563107656527597	94.0	0.003748139894221496	0.0012472243148005378	0.0002518671125876841	0.002408383660887486	0.0029796217128933984	0.0037573288484453495	0.004466445299368625	0.005264686208369878	0.00845691891661591	94.0	0.004814509537090179	0.001259374639305236	0.0013053755372292547	0.0033590687700691315	0.004044416085859818	0.00479976848445858	0.005558966728316716	0.006293351775594078	0.009525531062978494	94.0	0.8366511192359597	0.04200872822954793	0.6614929057528824	0.7827712996745126	0.8203916694404846	0.8489558548658827	0.8621607745732563	0.8759563262825076	0.9042357517868483
No_bb	1h	40000000000.0	10000000000.0	10800	100.0	0.7880878722971388	0.038603187926695884	0.6941470650821323	0.7294820402317339	0.7667844317160245	0.7954374717839989	0.8147999935051558	0.8320475849947561	0.8578028341360346	100.0	0.014125301131525134	0.002162484656108259	0.009009903316894627	0.011358675879367376	0.012639935661422345	0.0141190693572163	0.015216381214648305	0.01681284454336233	0.020671818667469255	100.0	0.0010194454300338663	5.7486786414162934e-05	0.0008439995968997583	0.0009444015339616695	0.0009785144929842814	0.0010232385054462553	0.0010556217211703074	0.001098910171562768	0.0011424263478562748	100.0	0.0020779938946431957	0.0023274408374098026	0.00029373678258552775	0.0009654924233137685	0.0013550246670325631	0.001847547007705364	0.002366307033570963	0.0027468103474315025	0.023983389249495345	100.0	0.0030974393246770626	0.0023168041522823755	0.001375252801147102	0.0019928460797079255	0.0023987452759997286	0.0028895824238406704	0.0033828000057634124	0.0037511247458443496	0.024917539520010013	100.0	0.8022131734286639	0.03870913685834586	0.7063882423204053	0.7438368609232378	0.7814695512607787	0.8096730919346224	0.8289733117857787	0.8480132680221093	0.8711577730418315
No_bb	1h	40000000000.0	10000000000.0	14400	100.0	0.7591513344196928	0.041247038269263236	0.6080700515027665	0.7098559441965366	0.7379546163683617	0.7651835412181816	0.7853256163948592	0.8046244609361785	0.8356171642886018	100.0	0.0105878855708408	0.0016675482571367947	0.006022236524309473	0.008414917771150129	0.009481598160873891	0.010548486441420962	0.011878346006778654	0.012505178205085015	0.014656960657079592	100.0	0.0009578904430592347	6.51086406761337e-05	0.000767397154219431	0.0008768090338592398	0.0009175860763839804	0.0009656231755790378	0.0010016598830653576	0.0010397952271996276	0.0010763335243305523	100.0	0.001287978940761423	0.0005441442473822157	0.00026295643546609895	0.000657093465374327	0.0008767710619639621	0.001239662525395906	0.0016283732866155419	0.002039041349312929	0.0026268490459483884	100.0	0.0022458693838206577	0.0005638120835382048	0.0012275783409573652	0.001550620315563463	0.0018045124989998172	0.00218372339206148	0.0026022086800489997	0.0030311527856503773	0.003665620092642982	100.0	0.7697392199905337	0.0417149211606258	0.6152583858390422	0.7212401941743566	0.7476616010623933	0.7756073355923161	0.7963372273752358	0.8163368517292462	0.8456728009853364
No_bb	1h	40000000000.0	10000000000.0	18000	100.0	0.7440502402660891	0.045203666125873336	0.6101583447953951	0.6860185382083882	0.7228252826053967	0.7446670666606311	0.7726565551944884	0.8040773551506665	0.8230569223026317	100.0	0.008531985631035289	0.0019084412789103463	0.004504557979740655	0.006242655302699055	0.007207083993618095	0.008297885580289224	0.00974738097774419	0.01128169795269614	0.013242246586857742	100.0	0.0009016893796528286	6.678219206025928e-05	0.0007332438453927334	0.0008084391414104692	0.0008599569261366544	0.0009065484930558356	0.000947820562883059	0.0009842001154725633	0.0010520491112927792	100.0	0.0011725581270651314	0.00185005509129158	5.908811952580485e-05	0.00043302539724286406	0.0006489664579060529	0.0009123708492712386	0.0012375617371909262	0.0016284507191880605	0.01868037392176274	100.0	0.0020742475067179592	0.0018468708983020062	0.0008676474384380627	0.0013357453784560048	0.0015333769622175013	0.001829965286781597	0.0021478082848542697	0.002486501973510637	0.019538547261166498	100.0	0.7525822258971246	0.045503229043267215	0.6180161942002639	0.6908108778544931	0.7314523263088609	0.7533439140827598	0.7837433536410209	0.8117984099176969	0.8306463117008596
No_bb	1h	40000000000.0	10000000000.0	21600	100.0	0.7278601509570022	0.04983668953592654	0.5720686070245111	0.6712298636391125	0.6984439324517805	0.7303693713742287	0.7622275352793686	0.7882208009039322	0.8266838882800424	100.0	0.007315921239486616	0.0014515563568950455	0.0036094159207576493	0.00553415310650582	0.006419053722362305	0.007144087708111876	0.008360801422723167	0.008944517613059333	0.012190317892234338	100.0	0.0008426594694532369	7.23948007949977e-05	0.0005993833235008689	0.000759273897157251	0.0007908628550482475	0.000848600711635345	0.0009013220767743176	0.0009222262786879903	0.0009977976299420349	100.0	0.001153777796071874	0.002842304219851745	6.839866901495394e-05	0.0003318247526948115	0.00044285024996027384	0.0006645553343628325	0.0010054664521906625	0.0013724843026407534	0.02132776966044364	100.0	0.0019964372655251104	0.0028402128374368334	0.0007573012029489282	0.001136437985611469	0.0012943109444180502	0.001514037507642283	0.0018497885786700936	0.00229070777077134	0.022203972199259132	100.0	0.7351760721964891	0.05025083505240946	0.580271900150805	0.6784637227065413	0.7051539320836431	0.7372156903206912	0.7702294854030736	0.7953267187801765	0.8346553951341037
No_bb	1h	40000000000.0	10000000000.0	25200	100.0	0.7118685556283785	0.04264439423569205	0.6162093574641351	0.6522718224868013	0.6832384883046091	0.7161252459292191	0.7393284717647282	0.767700833644939	0.7913351912055867	100.0	0.006041960211566349	0.0013348770140043744	0.0025967379164084817	0.004564023514114775	0.005209180287409637	0.005968507598991908	0.006947252809175588	0.007784219811839131	0.009458759137114128	100.0	0.000790333958147688	6.406742040958798e-05	0.0006492458576982373	0.0007048341240476836	0.0007455060158135646	0.0007888705230959953	0.0008373516771409312	0.0008735321372233739	0.0009415497809368273	100.0	0.001249418380656203	0.003572350367894282	8.363235856559727e-05	0.0003066580487166913	0.00042117886830263007	0.0005494844739751027	0.0007786388169484709	0.0011571213580650194	0.022137566416720607	100.0	0.00203975233880389	0.003561901493908656	0.0008483821516393012	0.0010952758613169498	0.0012009648300474929	0.0013511376188382748	0.0015685141499929664	0.001984158785429166	0.022915449112860017	100.0	0.717910515839945	0.04282991820848467	0.6210375036598575	0.660431376646902	0.6891294313483873	0.7226006772370374	0.7463304679321303	0.7743665639987595	0.7992848411494842
No_bb	1h	40000000000.0	10000000000.0	28800	100.0	0.7087810495996898	0.0440247412203724	0.5858744117705039	0.6538071916439439	0.6837853246615386	0.7173671894291637	0.7365542538584108	0.7569711632499698	0.7985899218410751	100.0	0.00543241841448451	0.0012255299921834955	0.0023940134494616293	0.003941647807719788	0.00450814977791341	0.005493360463225925	0.006314967871015385	0.007027882831007344	0.008180280398931197	100.0	0.0007340664289792654	6.655836844989662e-05	0.0005708111944026525	0.0006406670238407617	0.0006906114408864638	0.0007333519960452592	0.0007842682130637648	0.0008136493257361753	0.0008826854703923406	100.0	0.0008857027091005765	0.0023654265444793144	8.796834198986351e-05	0.0002336387638996712	0.000329433199413704	0.00043581108111073285	0.0007132767102543424	0.0008602885212044393	0.022080007230344336	100.0	0.0016197691380798421	0.002376716260292179	0.0007265703703357666	0.0009191041351677789	0.0010235186080468533	0.0011919369245674857	0.001455576596391461	0.0016244099458631994	0.0228916349918031	100.0	0.7142134680141742	0.04432492631524919	0.5892400133331719	0.65813294302016	0.6892763970411138	0.7230359696389519	0.7411677984894898	0.7629407480717891	0.8042884153593843
No_bb	1h	40000000000.0	10000000000.0	32400	100.0	0.7043197560256025	0.046334602446576306	0.5760847321242102	0.6435541018111545	0.6789327282273042	0.7117178531053139	0.7354372638616796	0.7601481643054442	0.7910910284966695	100.0	0.004963293609644188	0.001108591567019434	0.0028276938587922886	0.00363130874463897	0.004278329883861934	0.004777616518467229	0.005559526420223795	0.006403219131954421	0.009380589392082328	100.0	0.0006966624782050948	7.559149882351564e-05	0.0005206104394050834	0.0005880234792635682	0.0006432866410091074	0.0006975782190968542	0.0007487340681059688	0.0007903735643657625	0.0008726019844079501	100.0	0.0011037261781287801	0.003177879771887005	0.00014242107707676288	0.00023517470439000736	0.0003253656421577468	0.00043114977762773155	0.00063092743193589	0.0009737195324160911	0.023836835154414218	100.0	0.0018003886563338742	0.0031761285055813874	0.0007287955323771159	0.0009242939197356571	0.0010156802781111209	0.0011438237554529523	0.0013477679111706727	0.0017425933142096962	0.024420066998232084	100.0	0.7092830496352466	0.046664429872055324	0.5793500198082995	0.6489446419224936	0.6840525855127615	0.7168960255280346	0.7404373779084057	0.7657520377596037	0.7944935830785315
No_bb	1h	40000000000.0	10000000000.0	36000	100.0	0.7166172774771716	0.04415796128778516	0.5709845066771085	0.6564644446469049	0.69345556416448	0.7193912611020628	0.7529914182951052	0.7649193971302345	0.8034906513724063	100.0	0.0044827912552915326	0.000988593346438275	0.0024522238611643437	0.0033919114245352143	0.003728004296913311	0.004416967029745828	0.005266363758534444	0.005664143884545582	0.007079712737112491	100.0	0.0006565997816360821	7.287553100324429e-05	0.00048493064984671215	0.0005564290920519331	0.0006142773741869798	0.0006558249168599544	0.000696498204664812	0.0007550111752915746	0.0008242753044482964	100.0	0.0011367490822431223	0.0033535403681199654	8.048049531656412e-05	0.00022686950984796247	0.0003038064861617323	0.0004111078681050547	0.0005600231447908809	0.0009729345152273956	0.022138235294286258	100.0	0.0017933488638792057	0.0033444368096214026	0.0006616159131618425	0.0008505061353911451	0.0009444866758557807	0.0010774779866711496	0.001272962861468478	0.0016652736660108048	0.02262316594413297	100.0	0.721100068732463	0.04429862353939385	0.5737396781632467	0.6602251143330558	0.6981230500679403	0.7243493106802399	0.7574399370609535	0.769828307958168	0.8080489854674083
No_bb	1h	40000000000.0	10000000000.0	39600	100.0	0.7196246138583234	0.04467564423253714	0.6049196678459816	0.6580668851570397	0.686825699777944	0.7281470654164698	0.7501919062072568	0.7717270421456257	0.8119157656422339	100.0	0.0041040512968658245	0.0009472389885741167	0.0015129061124255017	0.0029765301634137485	0.003438288652272664	0.004052831488415027	0.004621302810517641	0.005295066529024608	0.006654381155559963	100.0	0.0006219079441513639	7.86002112910764e-05	0.00043183822084924014	0.0005311205064210483	0.0005687848562595454	0.0006153404416159106	0.0006752286433010109	0.0007348126321149258	0.0008256392404301176	100.0	0.0007938776689372671	0.00247541036449758	9.990045629473248e-05	0.00018347749817470156	0.0002356177412234989	0.00037948437206366257	0.00048520893717081404	0.0007469014923386953	0.020585233366565977	100.0	0.0014157856130886306	0.002464187142707545	0.0005759618225896462	0.0007486464793999458	0.0008823766886473036	0.001013323328938573	0.001158986425758997	0.001392265583497108	0.02108712528674923	100.0	0.7237286651551892	0.044684212616426466	0.6081420151438522	0.6634299250438975	0.6921355278340329	0.7316969817617435	0.754141001318445	0.7765621244077944	0.815668557653309
