bandwidth,runtype,ratio,MTBF
6.0625e+12,Prop1h,0.804384,3.1536e+08
9.4375e+12,Prop1h,0.801688,3.1536e+08
9.4375e+12,Prop1h,0.789716,3.1536e+08
8.3125e+12,Prop1h,0.792879,3.1536e+08
6.0625e+12,Prop1h,0.789893,3.1536e+08
9.4375e+12,Prop1h,0.798281,3.1536e+08
7.1875e+12,Prop1h,0.804254,3.1536e+08
8.3125e+12,Prop1h,0.814497,3.1536e+08
7.1875e+12,Prop1h,0.792402,3.1536e+08
9.4375e+12,Prop1h,0.801027,3.1536e+08
7.1875e+12,Prop1h,0.789044,3.1536e+08
7.1875e+12,Prop1h,0.791862,3.1536e+08
8.3125e+12,Prop1h,0.799348,3.1536e+08
8.3125e+12,Prop1h,0.793362,3.1536e+08
8.3125e+12,Prop1h,0.800577,3.1536e+08
7.1875e+12,Prop1h,0.794037,3.1536e+08
9.4375e+12,Prop1h,0.790214,3.1536e+08
7.1875e+12,Prop1h,0.788515,3.1536e+08
7.1875e+12,Prop1h,0.786455,3.1536e+08
8.3125e+12,Prop1h,0.806471,3.1536e+08
8.3125e+12,PropDaly,0.819843,3.1536e+08
7.1875e+12,Prop1h,0.799055,3.1536e+08
6.0625e+12,PropDaly,0.801147,3.1536e+08
4.9375e+12,FCFS1h,0.795196,3.1536e+08
7.1875e+12,Prop1h,0.802234,3.1536e+08
6.0625e+12,PropDaly,0.789909,3.1536e+08
6.0625e+12,FCFS1h,0.806447,3.1536e+08
1.07031e+13,Prop1h,0.816692,3.1536e+08
9.4375e+12,Prop1h,0.80707,3.1536e+08
8.3125e+12,PropDaly,0.796498,3.1536e+08
1.21094e+13,Prop1h,0.797958,3.1536e+08
9.4375e+12,Prop1h,0.806573,3.1536e+08
8.3125e+12,PropDaly,0.802914,3.1536e+08
1.07031e+13,Prop1h,0.830206,3.1536e+08
7.1875e+12,PropDaly,0.798607,3.1536e+08
1.07031e+13,Prop1h,0.781789,3.1536e+08
